Date,City,State,Position,Shape,Duration,Summary,DayOfYear,DayOfWeek,WeekNum
42005.17708,"Entity[""City"", {""Hollywood"", ""Florida"", ""UnitedStates""}]","Entity[""AdministrativeDivision"", {""Florida"", ""UnitedStates""}]","GeoPosition[{26.0311054, -80.1645743}]",light,"Quantity[20, ""Minutes""]","A bright red light, 2015 a year I wont forget.",1,5,1
42005.23611,"Entity[""City"", {""Newington"", ""Connecticut"", ""UnitedStates""}]","Entity[""AdministrativeDivision"", {""Connecticut"", ""UnitedStates""}]","GeoPosition[{41.6869935, -72.7308384}]",sphere,"Quantity[15, ""Seconds""]",Glowing green sphere drops rapidly to earth and disappears,1,5,1
42005.23958,"Entity[""City"", {""KailuaHawaii"", ""Hawaii"", ""UnitedStates""}]","Entity[""AdministrativeDivision"", {""Hawaii"", ""UnitedStates""}]","GeoPosition[{19.649973, -155.994028}]",disk,"Quantity[2, ""Minutes""]",UFO spotted by four on New Years Day at Makalawena Beach on the Big Island of Hawaii,1,5,1
42005.50486,"Entity[""City"", {""HavreDeGrace"", ""Maryland"", ""UnitedStates""}]","Entity[""AdministrativeDivision"", {""Maryland"", ""UnitedStates""}]","GeoPosition[{39.5508344, -76.1051208}]","Missing[""NotAvailable""]","Quantity[2, ""Minutes""]","Strange green blinking light that hoverd over our yard for 2 minutes, then disappeared.",1,5,1
42005.71875,"Entity[""City"", {""Oakland"", ""California"", ""UnitedStates""}]","Entity[""AdministrativeDivision"", {""California"", ""UnitedStates""}]","GeoPosition[{37.7698573, -122.2256401}]",sphere,"Quantity[2, ""Minutes""]","Bright orange sphere seen over Oakland, CA",1,5,1
42005.72917,"Entity[""City"", {""Oakland"", ""California"", ""UnitedStates""}]","Entity[""AdministrativeDivision"", {""California"", ""UnitedStates""}]","GeoPosition[{37.7698573, -122.2256401}]",oval,"Quantity[2.5, ""Minutes""]",Saw what I thought to be a blimp in the sky. It actually reminded me if the H(L? ) helium blimp at first. I was facing the sith western,1,5,1
42005.75,"Entity[""City"", {""Charleston"", ""SouthCarolina"", ""UnitedStates""}]","Entity[""AdministrativeDivision"", {""SouthCarolina"", ""UnitedStates""}]","GeoPosition[{32.8179219, -79.9589267}]",disk,"Quantity[1, ""Minutes""]","We saw a fairly large disc fly slowly over rivers avenue. As we watched it, the orange light went out and we could still see the disc s",1,5,1
42005.75,"Entity[""City"", {""EastStroudsburg"", ""Pennsylvania"", ""UnitedStates""}]","Entity[""AdministrativeDivision"", {""Pennsylvania"", ""UnitedStates""}]","GeoPosition[{41.0043783, -75.1751114}]",other,"Quantity[7, ""Seconds""]","My wife saw lights outside the house, she told me it might be the garage truck, I went to the door and I saw several lights red,white,o",1,5,1
42005.77222,"Entity[""City"", {""Kaunakakai"", ""Hawaii"", ""UnitedStates""}]","Entity[""AdministrativeDivision"", {""Hawaii"", ""UnitedStates""}]","GeoPosition[{21.0894404, -157.0004599}]",light,"Quantity[45, ""Minutes""]",Witnessed a large bright ball of light off the south ocean horizon of Moloka'i for 30 minutes. It was not a star or plane. It flashed y,1,5,1
42005.79167,"Entity[""City"", {""MyrtleBeach"", ""SouthCarolina"", ""UnitedStates""}]","Entity[""AdministrativeDivision"", {""SouthCarolina"", ""UnitedStates""}]","GeoPosition[{33.7108008, -78.8858621}]",cylinder,"Quantity[2, ""Hours""]","Glowing red ufo spotted over ocean in Myrtle Beach, SC, New Year's night 2015.",1,5,1
