Area Code,Area Name,Area Type,Sex,Age,Category Type,Category,Time period,Value,Lower CI limit,Upper CI limit,Count,Denominator,Value note
E92000001,England,Country,Persons,2-4 yrs,County & UA deprivation deciles in England (IMD2010),Second most deprived decile (IMD2010),2015/16,29.47773062,,,53755,182358,Aggregated from all known lower geography values
E92000001,England,Country,Persons,2-4 yrs,County & UA deprivation deciles in England (IMD2010),Third more deprived decile (IMD2010),2015/16,33.96169787,,,47526,139940,Aggregated from all known lower geography values
E92000001,England,Country,Persons,2-4 yrs,County & UA deprivation deciles in England (IMD2010),Fourth more deprived decile (IMD2010),2015/16,33.38780936,,,61289,183567,Aggregated from all known lower geography values
E92000001,England,Country,Persons,2-4 yrs,County & UA deprivation deciles in England (IMD2010),Fifth more deprived decile (IMD2010),2015/16,31.93199402,,,48908,153163,Aggregated from all known lower geography values
E92000001,England,Country,Persons,2-4 yrs,County & UA deprivation deciles in England (IMD2010),Fifth less deprived decile (IMD2010),2015/16,30.57981752,,,62740,205168,Aggregated from all known lower geography values
E92000001,England,Country,Persons,2-4 yrs,County & UA deprivation deciles in England (IMD2010),Fourth less deprived decile (IMD2010),2015/16,37.98203511,,,110786,291680,Aggregated from all known lower geography values
E92000001,England,Country,Persons,2-4 yrs,County & UA deprivation deciles in England (IMD2010),Third less deprived decile (IMD2010),2015/16,35.73754413,,,72876,203920,Aggregated from all known lower geography values
E92000001,England,Country,Persons,2-4 yrs,County & UA deprivation deciles in England (IMD2010),Second least deprived decile (IMD2010),2015/16,38.76446959,,,107697,277824,Aggregated from all known lower geography values
E92000001,England,Country,Persons,2-4 yrs,County & UA deprivation deciles in England (IMD2010),Least deprived decile (IMD2010),2015/16,39.75777079,,,100318,252323,Aggregated from all known lower geography values
E92000001,England,Country,Persons,2-4 yrs,County & UA deprivation deciles in England (IMD2015),Most deprived decile (IMD2015),2015/16,28.58286218,28.4000169,28.7664117,66783,233647,Aggregated from all known lower geography values
E92000001,England,Country,Persons,2-4 yrs,County & UA deprivation deciles in England (IMD2015),Second most deprived decile (IMD2015),2015/16,29.44244281,29.2204769,29.66538813,47478,161257,Aggregated from all known lower geography values
E92000001,England,Country,Persons,2-4 yrs,County & UA deprivation deciles in England (IMD2015),Third more deprived decile (IMD2015),2015/16,31.37371779,31.14143063,31.60694229,47897,152666,Aggregated from all known lower geography values
E92000001,England,Country,Persons,2-4 yrs,County & UA deprivation deciles in England (IMD2015),Fourth more deprived decile (IMD2015),2015/16,33.77677246,33.57584154,33.97829073,71676,212205,Aggregated from all known lower geography values
E92000001,England,Country,Persons,2-4 yrs,County & UA deprivation deciles in England (IMD2015),Fifth more deprived decile (IMD2015),2015/16,29.93131308,29.69970455,30.16395279,44753,149519,Aggregated from all known lower geography values
E92000001,England,Country,Persons,2-4 yrs,County & UA deprivation deciles in England (IMD2015),Fifth less deprived decile (IMD2015),2015/16,33.41776513,33.21856913,33.61755432,71771,214769,Aggregated from all known lower geography values
E92000001,England,Country,Persons,2-4 yrs,County & UA deprivation deciles in England (IMD2015),Fourth less deprived decile (IMD2015),2015/16,36.72178901,36.54258447,36.90136131,101860,277383,Aggregated from all known lower geography values
E92000001,England,Country,Persons,2-4 yrs,County & UA deprivation deciles in England (IMD2015),Third less deprived decile (IMD2015),2015/16,36.51730446,36.32466019,36.71038139,87429,239418,Aggregated from all known lower geography values
E92000001,England,Country,Persons,2-4 yrs,County & UA deprivation deciles in England (IMD2015),Second least deprived decile (IMD2015),2015/16,39.55132254,39.34937327,39.75362892,88909,224794,Aggregated from all known lower geography values
E92000001,England,Country,Persons,2-4 yrs,County & UA deprivation deciles in England (IMD2015),Least deprived decile (IMD2015),2015/16,39.25985836,39.06991408,39.45012819,99510,253465,Aggregated from all known lower geography values
